,ID,ICAO,Country,AirportName,longitude,latitude,Year,PAX,cargo,Population100km,Island,SouthIsland,Routes,RunwayCount,NUTS0,NUTS1,NUTS2,NUTS3,Tourists,Area,GDPpc,hub,international,ownership,RunwayLength
3,1655,LOWG,Austria,Graz,15.439628,46.991067,2011,959463,216,3786228,0,0,33,1,AT,AT2,AT22,AT221,2918229,16401,29500,0,1,public,3000
6,1660,LOWI,Austria,Innsbruck,11.343964,47.260219,2011,995848,368,3634675.75,0,0,60,1,AT,AT3,AT33,AT332,8062246,12640.2,34200,0,1,public,2000
2,1666,LOWK,Austria,Woerthersee International Airport,14.337739,46.642514,2011,377974,0,2598923.75,0,0,12,1,AT,AT2,AT21,AT211,2489436,9538,28200,0,1,public,2720
4,1670,LOWL,Austria,Linz,14.187511,48.233219,2011,659787,5964,2765732.75,0,0,14,1,AT,AT3,AT31,AT312,2253674,11979.9,33500,0,1,public,3000
5,1678,LOWS,Austria,Salzburg,13.004333,47.793304,2011,1695962,162,3180088,0,0,110,1,AT,AT3,AT32,AT323,5148105,7156,38800,0,1,public,2750
1,1680,LOWW,Austria,Schwechat,16.569722,48.110278,2011,21106426,213293,4828885,0,0,507,2,AT,AT1,AT12,AT127,2254364,19186.3,27100,1,1,major private,7100
7,9,EBAW,Belgium,Deurne,4.460278,51.189444,2011,114681,499,14916793,0,0,4,1,BE,BE2,BE21,BE211,1687084,2867,36500,0,1,public,1510
8,12,EBBR,Belgium,Brussels Natl,4.484444,50.901389,2011,18613386,386652,13292577,0,0,455,3,BE,BE2,BE24,BE241,927931,2106,32600,1,1,major private,9836
9,20,EBCI,Belgium,Brussels South,4.453817,50.459197,2011,5883173,16698,10773456,0,0,117,1,BE,BE3,BE32,BE322,447022,3786,20500,0,1,minor private,2550
11,862,LBBG,Bulgaria,Burgas,27.515236,42.569583,2011,2227430,5980,1351649.75,0,0,8,1,BG,BG3,BG34,BG341,1225390,19796.9,9300,0,1,private,3200
12,869,LBSF,Bulgaria,Sofia,23.406167,42.695194,2011,3465823,15880,2721166,0,0,126,1,BG,BG4,BG41,BG411,1194255,20254.7,19200,0,1,public,3600
10,871,LBWN,Bulgaria,Varna,27.825106,43.232072,2011,1164805,41,1393060,0,0,12,1,BG,BG3,BG33,BG331,1254892,14644.6,9400,0,1,private,2517
204,886,LDDU,Croatia,Dubrovnik,18.268244,42.561353,2011,1326250,389,1064242.5,0,0,16,1,HR,HR0,HR03,HR037,7306506,24705,14800,0,1,public,3300
205,890,LDPL,Croatia,Pula,13.922192,44.893533,2011,344640,2,781419.25,0,0,2,1,HR,HR0,HR03,HR036,7306506,24705,14800,0,1,public,2950
206,895,LDSP,Croatia,Split,16.297964,43.538944,2011,1271202,619,1494188.875,0,0,16,1,HR,HR0,HR03,HR035,7306506,24705,14800,0,1,public,2550
202,902,LDZA,Croatia,Zagreb,16.068778,45.742931,2011,2262627,7270,3591228.25,0,0,74,1,HR,HR0,HR04,HR042,1214444,31889,15900,0,1,public,3252
207,905,LDZD,Croatia,Zadar,15.346697,44.108269,2011,265982,0,954952.125,0,0,4,2,HR,HR0,HR03,HR033,7306506,24705,14800,0,1,public,4500
18,878,LCLK,Cyprus,Larnaca,33.62485,34.875117,2011,5431272,29133,762166.5,0,0,109,1,CY,CY0,CY00,CY000,2494714,9251,24900,0,1,private,2994
19,880,LCPH,Cyprus,Pafos Intl,32.485731,34.718039,2011,1759292,347,646777.5,0,0,52,1,CY,CY0,CY00,CY000,2494714,9251,24900,0,1,private,2699
21,1632,LKKV,Czech Republic,Karlovy Vary,12.914983,50.202978,2011,96291,64,4491133.5,0,0,14,1,CZ,CZ0,CZ04,CZ041,1040052,8648.9,16700,0,1,public,2150
24,1640,LKMT,Czech Republic,Mosnov,18.111053,49.696292,2011,245596,1765,7635148.5,0,0,2,1,CZ,CZ0,CZ08,CZ080,572306,5426.8,18500,0,1,public,3500
22,1641,LKPD,Czech Republic,Pardubice,15.738647,50.013419,2011,59034,108,4326763,0,0,6,1,CZ,CZ0,CZ05,CZ053,1782282,12440.4,17800,0,1,public,2500
20,1648,LKPR,Czech Republic,Ruzyne,14.26,50.100833,2011,11724179,62644,4620807,0,0,259,3,CZ,CZ0,CZ01,CZ010,5050923,496.1,45600,0,1,public,9085
23,1651,LKTB,Czech Republic,Turany,16.694433,49.151269,2011,525432,4625,3614143.5,0,0,6,1,CZ,CZ0,CZ06,CZ064,1473681,13990.2,19500,0,1,public,2650
54,523,EKAH,Denmark,Aarhus,10.619008,56.300017,2011,587559,423,1523462.125,0,0,14,2,DK,DK0,DK04,DK042,895961,13000.4,29700,0,1,public,5479
52,524,EKBI,Denmark,Billund,9.151778,55.740322,2011,2638612,13749,2086357.375,0,0,62,1,DK,DK0,DK03,DK032,507748,12321.6,29000,0,1,public,3100
51,531,EKCH,Denmark,Kastrup,12.655972,55.617917,2011,22606904,141331,3342740,0,0,417,3,DK,DK0,DK01,DK011,2380767,2546.2,40200,1,1,major private,9700
53,536,EKEB,Denmark,Esbjerg,8.553403,55.525942,2011,87196,150,1297023.25,0,0,2,1,DK,DK0,DK03,DK032,1550590,12321.6,29000,0,0,public,2599
55,542,EKKA,Denmark,Karup,9.124628,56.297458,2011,292972,3,1896949.625,0,0,2,4,DK,DK0,DK04,DK041,895961,13000.4,29700,0,0,public,7703
56,546,EKYT,Denmark,Aalborg,9.849164,57.092789,2011,1377821,32,983411.75,0,0,22,2,DK,DK0,DK05,DK050,829918,7873.2,27700,0,1,public,5203
57,147,EETN,Estonia,Tallinn,24.832844,59.413317,2011,1907569,18341,1655353,0,0,69,1,EE,EE0,EE00,EE001,2725937,45227,17800,0,1,public,3070
135,153,EFET,Finland,Enontekio,23.424322,68.362586,2011,18238,0,17901.6875,0,0,4,1,FI,FI1,FI1D,FI1D7,3263606,226782.8,24700,0,0,public,2001
132,156,EFHK,Finland,Helsinki Vantaa,24.963333,60.317222,2011,14871299,170934,1835083.75,0,0,302,3,FI,FI1,FI1B,FI1B1,3104074,9567.9,40100,1,1,public,9461
136,162,EFIV,Finland,Ivalo,27.405328,68.607269,2011,125318,9,21898.26563,0,0,6,1,FI,FI1,FI1D,FI1D7,3263606,226782.8,24700,0,0,public,2499
137,168,EFJO,Finland,Joensuu,29.60755,62.662906,2011,117109,35,238684.4063,0,0,2,1,FI,FI1,FI1D,FI1D3,3263606,226782.8,24700,0,0,public,2500
126,174,EFJY,Finland,Jyvaskyla,25.678253,62.399453,2011,88823,17,392766.5625,0,0,4,1,FI,FI1,FI19,FI193,2307441,64760.4,27700,0,0,public,2601
138,177,EFKE,Finland,Kemi Tornio,24.5991,65.781889,2011,93753,23,223646.8438,0,0,4,1,FI,FI1,FI1D,FI1D7,3263606,226782.8,24700,0,0,public,2503
139,184,EFKI,Finland,Kajaani,27.692414,64.285472,2011,78071,47,132622.8125,0,0,4,1,FI,FI1,FI1D,FI1D4,3263606,226782.8,24700,0,0,public,2500
127,187,EFKK,Finland,Kruunupyy,23.143131,63.721172,2011,94555,24,226625.1719,0,0,6,2,FI,FI1,FI19,FI195,2307441,64760.4,27700,0,0,public,3200
140,193,EFKS,Finland,Kuusamo,29.239381,65.987575,2011,91696,3,42084.44922,0,0,4,1,FI,FI1,FI1D,FI1D6,3263606,226782.8,24700,0,1,public,2500
141,200,EFKT,Finland,Kittila,24.84685,67.701022,2011,237999,8,25070.43359,0,0,14,1,FI,FI1,FI1D,FI1D7,3263606,226782.8,24700,0,1,public,2500
